Id,Stopname,Polsub,Xcoord,Ycoord,Turnout,Shelter,Bench,PWD
3,D @ Alexander (N),Las Vegas,-115.147338,36.193992,None,0,0,1
6,D @ Frederick (S),Las Vegas,-115.147489,36.192131,None,0,0,0
7,D @ Freeman (S),Las Vegas,-115.147418,36.189829,None,0,1,0
9,D @ Kasper (S),Las Vegas,-115.147512,36.194894,None,0,0,1
10,D @ Madison (N),Las Vegas,-115.146999,36.184298,None,1,1,1
11,D @ Monroe (S),Las Vegas,-115.147156,36.184607,None,0,0,1
12,D @ Owens (N),Las Vegas,-115.147154,36.188311,None,0,0,1
13,D @ Owens (S),Las Vegas,-115.147288,36.188244,None,1,1,1
14,D @ Paul (N),Las Vegas,-115.147273,36.190482,None,1,1,1
16,D @ Washington (N),Las Vegas,-115.146849,36.181297,None,0,1,1
17,H @ Bonanza (N),Las Vegas,-115.151745,36.17789,None,1,1,1
18,H @ Byrnes (N),Las Vegas,-115.151742,36.192243,None,0,0,1
19,H @ Doolittle (S),Las Vegas,-115.151929,36.191834,None,1,1,1
21,H @ Lake Mead (S),Las Vegas,-115.152018,36.195388,None,1,1,1
23,H @ McWilliams (S),Las Vegas,-115.152018,36.17889,None,0,1,1
24,H @ Monroe (S),Las Vegas,-115.151982,36.185191,None,1,1,1
25,H @ Monroe (N),Las Vegas,-115.151788,36.185468,None,1,1,1
28,H @ Harrison (N),Las Vegas,-115.151839,36.187723,None,1,1,1
29,H @ Owens (S),Las Vegas,-115.152057,36.187959,None,1,1,1
30,H @ Washington (N),Las Vegas,-115.151748,36.181027,None,1,1,1
31,H @ Washington (S),Las Vegas,-115.151941,36.180382,None,1,1,1
34,4th @ Fremont (N),Las Vegas,-115.141989,36.169247,Turn Lane,0,0,1
35,4th @ Bonneville (N),Las Vegas,-115.145195,36.164434,Turn Lane,1,1,1
36,4th @ Lewis (N),Las Vegas,-115.143559,36.166877,Turn Lane,1,0,1
39,Adams @ Boulder City Hospital (E),Boulder City,-114.843729,35.96831,None,1,1,1
40,Adams @ Avenue B (E),Boulder City,-114.836638,35.968609,None,0,0,1
41,Adams @ Georgia (E),Boulder City,-114.8308,35.968919,None,1,1,1
42,Adams @ San Felipe (E),Boulder City,-114.82686,35.96913,None,0,1,0
50,Alta @ Altamira (W),Las Vegas,-115.25647,36.166601,None,0,0,1
52,Alta @ Antelope (W),Las Vegas,-115.25174,36.166598,None,0,0,1
55,Alta @ Brush (E),Las Vegas,-115.209335,36.165968,None,1,1,1
56,Alta @ Campbell (W),Las Vegas,-115.182689,36.166329,None,1,1,1
57,Alta @ Campbell (E),Las Vegas,-115.183624,36.166218,Turn Lane,0,0,0
61,Alta @ Cimarron (W),Las Vegas,-115.269384,36.166521,None,0,1,1
63,Alta @ Decatur (W),Las Vegas,-115.206759,36.166616,None,1,1,1
66,Alta @ Falcon (E),Las Vegas,-115.214559,36.165941,None,0,1,1
67,Alta @ Falcon (W),Las Vegas,-115.216066,36.166091,None,0,0,1
68,Bonneville @ Grand Central (E),Las Vegas,-115.154545,36.16665,Turn Lane,1,1,1
69,Bonneville @ Grand Central (W),Las Vegas,-115.156544,36.16665,Turn Lane,1,1,1
70,Alta @ Hussey (W),Las Vegas,-115.229099,36.166477,None,0,0,1
71,Alta @ James H. Down Towers (W),Las Vegas,-115.20913,36.166106,None,1,1,1
72,Alta @ Jones (E),Las Vegas,-115.223137,36.166295,None,1,1,1
73,Alta @ Jones (W),Las Vegas,-115.224587,36.16647,None,0,0,1
76,Alta @ Lindy (E),Las Vegas,-115.236674,36.166338,None,0,1,1
